Institution Name,Category
"Sports University, Idumuje, Ugboko, Delta State",Private
"Summit University, Offa",Private
"Tansian University, Umunya",Private
"The Duke Medical University, Calabar, Cross River State",Private
"Thomas Adewumi University, Oko-Irese, Kwara State",Private
"Tonine Iredia University of Communication, Benin City, Edo State",Private
"Topfaith University, Mkpatak, Akwa Ibom State",Private
Trinity University Ogun State,Private
"University of Fortune, Igbotako, Ondo State",Private
"University of Mkar, Mkar",Private
"University of Offa, Kwara State",Private
"University on the Niger, Umunya, Anambra state",Private
"Venite University, Iloro-Ekiti, Ekiti State",Private
"Veritas University, Abuja",Private
"Vision University, Ikogbo, Ogun State",Private
"Wellspring University, Evbuobanosa - Edo State",Private
Wesley University Ondo,Private
"West Midlands Open University, Ibadan, Oyo State",Private
"Western Delta University, Oghara Delta State",Private
"Westland University Iwo, Osun State",Private
"Wigwe University, Isiokpo Rivers State",Private
"AbdulKadir Kure University, Minna Niger State",State
"Abdulsalam Abubakar University of Agriculture and Climate Action, Mokwa, Niger State",State
"Abia State University, Uturu",State
Adamawa State University Mubi,State
"Adekunle Ajasin University, Akungba",State
"Akwa Ibom State University, Ikot Akpaden",State
"Aliko Dangote university of Science & Technology, Wudil",State
"Ambrose Alli University, Ekpoma",State
"Bamidele Olumilua University of Science and Technology Ikere, Ekiti State",State
"Bauchi State University, Gadau",State
Bayelsa Medical University,State
"Benue State University of Agriculture Science and Technology, Ihugh.",State
"Benue State University, Makurdi",State
"Bornu State University, Maiduguri",State
"Chukwuemeka Odumegwu Ojukwu University, Uli",State
"Confluence University of Science and Technology Osara, Kogi",State
"Cross River University of Education and Entrepeneurship, Akampa, Cross River State",State
Delta State University Abraka,State
"Delta University of Science and Technology, Ozoro",State
"Dennis Osadebe University, Asaba",State
"Ebonyi State University of ICT, Science and Technology, Oferekpe, Ebonyi State",State
"Ebonyi State University, Abakaliki",State
Edo State University Uzairue,State
Ekiti State University,State
Emanuel Alayande University of Education Oyo,State
"Enugu State University of Science and Technology, Enugu",State
First Technical University Ibadan,State
Gombe State University of Science and Technology,State
"Ibrahim Badamasi Babangida University, Lapai",State
"Ignatius Ajuru University of Education,Rumuolumeni",State
"Imo State University, Owerri",State
"Kaduna State University, Kaduna",State
"Kebbi State University of Science and Technology, Aliero",State
"Kingsley Ozumba Mbadiwe University Ogboko, Imo State",State
"Kogi State University, Kabba",State
"Kwara State University of Education, Ilorin, Kwara State",State
"Kwara State University, Ilorin",State
"Ladoke Akintola University of Technology, Ogbomoso",State
"Lagos State University of Education, Ijanikin",State
Lagos State University of Science and Technology Ikorodu,State
"Lagos State University, Ojo",State
Moshood Abiola University of Science and Technology Abeokuta,State
Nasarawa State University Keffi,State
Niger Delta University Yenagoa,State
"Olabisi Onabanjo University, Ago Iwoye",State
"Olusegun Agagu University of Sc. & Tech., Okitipupa, Ondo",State
Osun State University Osogbo,State
Plateau State University Bokkos,State
Prince Abubakar Audu University Anyigba,State
Rivers State University,State
"Shehu Shagari University of Education, Sokoto",State
Sokoto State University,State
"State University of Medical and Applied Sciences, Igbo-Eno, Enugu",State
"Sule Lamido University, Kafin Hausa, Jigawa",State
"Taraba State University, Jalingo",State
Umar Musa Yar' Adua University Katsina,State
"University of Aeronautics and Aerospace Engineering Ezza, Ebonyi State",State
"University of Africa Toru Orua, Bayelsa State",State
"University of Agriculture and Environmental Sciences Umuagwo, Imo State",State
"University of Cross River State, Calabar",State
"University of Delta, Agbor",State
"University of Ilesa, Osun State",State
"University of Medical Sciences, Ondo City, Ondo State",State
"Yobe State University, Damaturu",State
Yusuf Maitama Sule University Kano,State
Zamfara State University,State
